"year","oblast","rayon","Voted","dem","prorus","region","sum"
2006,"Запорізька область","Вільнянський район",31131,0.152677395522148,0.71221611898108,"Південний-Схід",0.864893514503228
2006,"Запорізька область","Запорізький район",30593,0.172980747229758,0.715850031052855,"Південний-Схід",0.888830778282614
2006,"Запорізька область","Оріхівський район",28493,0.152563787596954,0.724353349945601,"Південний-Схід",0.876917137542554
2006,"Запорізька область","місто Бердянськ",66220,0.154047115675023,0.764270613107822,"Південний-Схід",0.918317728782845
2006,"Запорізька область","Бердянський район",16709,0.120354300077802,0.795499431444132,"Південний-Схід",0.915853731521934
2006,"Запорізька область","Більмацький район",15072,0.148420912951168,0.742834394904459,"Південний-Схід",0.891255307855626
2006,"Запорізька область","Розівський район",6774,0.0724830233244759,0.837614408030706,"Південний-Схід",0.910097431355182
2006,"Запорізька область","Приморський район",19708,0.182971382179825,0.733712198092145,"Південний-Схід",0.916683580271971
2006,"Запорізька область","Василівський район",37197,0.15197462160927,0.74866252654784,"Південний-Схід",0.900637148157109
2006,"Запорізька область","Великобілозерський район",4852,0.117271228359439,0.791838417147568,"Південний-Схід",0.909109645507007
2006,"Запорізька область","місто Енергодар",29299,0.183009659032731,0.699614321307894,"Південний-Схід",0.882623980340626
2006,"Запорізька область","Кам'янсько-Дніпровський район",23608,0.0776431718061674,0.863224330735344,"Південний-Схід",0.940867502541511
2006,"Запорізька область","Веселівський район",12935,0.106146115191341,0.817317356010823,"Південний-Схід",0.923463471202165
2006,"Запорізька область","місто Мелітополь",83507,0.121594596860143,0.803393727471948,"Південний-Схід",0.924988324332092
2006,"Запорізька область","Мелітопольський район",30022,0.0915661847978149,0.839018053427486,"Південний-Схід",0.930584238225301
2006,"Запорізька область","Якимівський район",21446,0.118856663247226,0.807423295719481,"Південний-Схід",0.926279958966707
2006,"Запорізька область","місто Токмак",23434,0.143296065545788,0.788213706580183,"Південний-Схід",0.931509772125971
2006,"Запорізька область","Токмацький район",10450,0.131483253588517,0.784401913875598,"Південний-Схід",0.915885167464115
2006,"Запорізька область","Михайлівський район",16825,0.130698365527489,0.775453194650817,"Південний-Схід",0.906151560178306
2006,"Запорізька область","Приазовський район",17808,0.0996743036837376,0.822663971248877,"Південний-Схід",0.922338274932615
2006,"Запорізька область","Пологівський район",24624,0.188515269655621,0.690058479532164,"Південний-Схід",0.878573749187784
2006,"Запорізька область","Гуляйпільський район",18586,0.194393629613688,0.685139352200581,"Південний-Схід",0.879532981814269
2006,"Запорізька область","Новомиколаївський район",10509,0.145208868588829,0.751641450185555,"Південний-Схід",0.896850318774384
2006,"Запорізька область","Чернігівський район",12755,0.104743237945904,0.808780870246962,"Південний-Схід",0.913524108192866
2006,"Івано-Франківська область","місто Івано-Франківськ",122158,0.760736095875833,0.143617282535732,"Галичина",0.904353378411565
2006,"Івано-Франківська область","місто Калуш",36152,0.844766541270193,0.082097809249834,"Галичина",0.926864350520027
2006,"Івано-Франківська область","Калуський район",38563,0.897414620231828,0.0372636983637165,"Галичина",0.934678318595545
2006,"Івано-Франківська область","Городенківський район",36232,0.8339865312431,0.0689721792890263,"Галичина",0.902958710532126
2006,"Івано-Франківська область","Тисменицький район",53287,0.887777506708953,0.0404789160583257,"Галичина",0.928256422767279
2006,"Івано-Франківська область","Тлумацький район",30490,0.852968186290587,0.0590685470646114,"Галичина",0.912036733355199
2006,"Івано-Франківська область","Галицький район",31795,0.88564239660324,0.0445353042931279,"Галичина",0.930177700896367
2006,"Івано-Франківська область","місто Бурштин",8284,0.875543215837759,0.0459922742636408,"Галичина",0.9215354901014
2006,"Івано-Франківська область","місто Рогатин",4866,0.832922318125771,0.0741882449650637,"Галичина",0.907110563090834
2006,"Івано-Франківська область","Рогатинський район",27943,0.87628386357943,0.0313137458397452,"Галичина",0.907597609419175
2006,"Івано-Франківська область","Богородчанський район",39831,0.877758529788356,0.0438603098089428,"Галичина",0.921618839597299
2006,"Івано-Франківська область","місто Болехів",11468,0.882804325078479,0.0471747471224276,"Галичина",0.929979072200907
2006,"Івано-Франківська область","Долинський район",41706,0.854193641202705,0.0591521603606196,"Галичина",0.913345801563324
2006,"Івано-Франківська область","Рожнятівський район",42167,0.889226172125122,0.0371380463395546,"Галичина",0.926364218464676
2006,"Івано-Франківська область","місто Надвірна",11396,0.784047034047034,0.11030186030186,"Галичина",0.894348894348894
2006,"Івано-Франківська область","Надвірнянський район",50717,0.856734428298204,0.0501015438610328,"Галичина",0.906835972159237
2006,"Івано-Франківська область","місто Яремче",12241,0.85744628706805,0.0444408136590148,"Галичина",0.901887100727065
2006,"Івано-Франківська область","Верховинський район",13411,0.826262023711878,0.0533890090224443,"Галичина",0.879651032734322
2006,"Івано-Франківська область","місто Коломия",30797,0.753385069974348,0.127220183784135,"Галичина",0.880605253758483
2006,"Івано-Франківська область","Коломийський район",60937,0.854571114429657,0.0488045030113068,"Галичина",0.903375617440964
2006,"Івано-Франківська область","Снятинський район",40379,0.863196215854776,0.0557220337304044,"Галичина",0.91891824958518
