"rayon","oblast","pop_2006","pop_2007","pop_2012","pop_2014","pop_2019","ua_2006","ua_2007","ua_2012","ua_2014","ua_2019","ru_2006","ru_2007","ru_2012","ru_2014","ru_2019","rayon_en"
"Великолепетиський район","Херсонська область",0.106224229334381,0.217205542725173,0.254909819639279,0.159891137948631,0.663301967493584,0.148537207932456,0.11824480369515,0.131195724782899,0.515053580540908,0.0875962360992301,0.638523463577459,0.594110854503464,0.587842351369406,0.265181153257357,0.223781009409752,"Velyka Lepetyka district"
"Великомихайлівський район","Одеська область",0.0510615425960763,0.117436661698957,0.134482464374093,0.134904109589041,0.61537606932563,0.100779360386993,0.0935171385991058,0.112210939499957,0.491616438356164,0.0675480502166426,0.716003762429454,0.716542473919523,0.731376397303524,0.300164383561644,0.280635484946117,"Velyka Mykhailivka district"
"Великоновосілківський район","Донецька область",0.033596185585916,0.0517260558418925,0.0738916256157635,0.131757437378282,0.363159710244912,0.0280946268109298,0.0431235863398717,0.045011845222427,0.377879255926399,0.0609865470852018,0.869356317623327,0.856353591160221,0.863197081938856,0.36955207843664,0.550258709899966,"Velyka Novosilka district"
"Великоолександрівський район","Херсонська область",0.192216304793118,0.246356696738376,0.267338674937538,0.198731281198003,0.713544481677656,0.101761573125768,0.106374541489045,0.162315843887309,0.531717970049917,0.095449140633445,0.614584186808685,0.573411321502925,0.54070819333161,0.214642262895175,0.167333261269052,"Velyka Oleksandrivka district"
"Великописарівський район","Сумська область",0.149091913541882,0.273324984345648,0.264895635673624,0.25784977255076,0.627804295942721,0.230992334783509,0.200297432686287,0.161859582542694,0.463774547875291,0.0712410501193317,0.509149920585595,0.454758922980589,0.549620493358634,0.218462221235992,0.2618138424821,"Velyka Pysarivka disrtrict"
"Верхньодніпровський район","Дніпропетровська область",0.185899519630151,0.236419599035022,0.196891191709845,0.162473277421477,0.691158965479927,0.0483620471701521,0.060851842608768,0.18898281974366,0.497615523762539,0.074667243804783,0.615342940730307,0.620705432160386,0.581310789928188,0.276489612454092,0.216805540525917,"Verkhnodniprovsk district"
"Верхньорогачицький район","Херсонська область",0.125112165107038,0.2120369014497,0.239244324495952,0.222287968441815,0.672043010752688,0.138187411870273,0.164592180407087,0.109858707731386,0.512820512820513,0.0832258064516129,0.620433277784899,0.552203836579294,0.618669630100016,0.206311637080868,0.220430107526882,"Verkhniy Rohachyk district"
"Верховинський район","Івано-Франківська область",0.283178872130353,0.512566441367544,0.323353734975297,0.139904264577894,0.706377551020408,0.53752498637107,0.339720454098038,0.514858786225205,0.811575282854656,0.197448979591837,0.061784481192077,0.0880635212284271,0.134282132586092,0.0162460110240789,0.0266156462585034,"Verkhovyna district"
"Веселинівський район","Миколаївська область",0.10361641609102,0.172273344395836,0.190486191326263,0.155679012345679,0.664516129032258,0.0965732087227414,0.0802534318901795,0.14344219258637,0.502469135802469,0.0786366402921485,0.68488419341731,0.673103032131543,0.637929223984039,0.272345679012346,0.164698721850274,"Veselynove district"
"Веселівський район","Запорізька область",0.0552763819095477,0.0718617595746448,0.108304595022835,0.127718704688255,0.534660766961652,0.0509470429068419,0.0443632134252721,0.0824867182402833,0.314403093281779,0.0558013765978368,0.817317356010823,0.833430256708482,0.788889924503681,0.477042049299178,0.359513274336283,"Vesele raion"
"Вижницький район","Чернівецька область",0.346782260753585,0.602225624556555,0.506621869750361,0.194680759645957,0.751019975626557,0.422940980326776,0.22947085402741,0.340157049654256,0.741728967947065,0.155513166958088,0.120206735578526,0.10963814929609,0.128726022580771,0.0279711265790152,0.0574895353150003,"Vyzhnytsia district"
"Виноградівський район","Закарпатська область",0.185823861010997,0.292404380554839,0.294548107534489,0.0982399053394468,0.686756442059434,0.338674799001941,0.324508125600919,0.293575344888574,0.793787901198048,0.112463929529692,0.260548932630995,0.296250263818212,0.346215068977715,0.046265345363112,0.131094011036298,"Vynohradiv district"
"Високопільський район","Херсонська область",0.137801608579088,0.231344229063727,0.264641767185002,0.248067463106114,0.707937088514996,0.122573726541555,0.11060433295325,0.131666908879523,0.460295151089248,0.0848573518653987,0.626487935656836,0.585202077790447,0.571428571428571,0.234539704848911,0.182699341623994,"Vysokopillia district"
